STATUS,ASSET_ID,ASSET_NAME,ASSET_ADDR,SITE_NAME,SITE_CODE,SHAREBLDG_,SHAREBLDG1,ASSET_GROU,ASSET_GR_1,ASSET_TYPE,ASSET_SUBT,ASSET_SU_1,ASSET_SU_2,CITYOWNED,CITYUSE_DE,OCCUPANT,MAINTAINED,OPA_ID,OPA_OWNER,BLDG_SQFT,BLDG_SQFTU,BLDG_FL,BLDG_YR,SITE_ACRES,SERVING_TY,PCPC_DIST,COUNCIL_DI,EDITNOTE1,EDITNOTE2,EDITDATE,EDITSOURCE,EDITSOUR_1,EDITOR,TBD_PARK,BLDG_AGE,COUNCIL__1,NOT_PUBLIC,URL,SITE_CODE2,LAT,LNG
A,3014,East Fairmount Park Basketball Court,Reservoir Rd at 33rd St,East Fairmount Park, ,0, ,A11,A11.3,B2,C4, ,Basketball Court,Y,Owned,Public,PPR, , ,0.0,0,0,0,0.0,C,Lower North,4.0,4 Hoops. Field lights., ,2013-05-29 00:00:00,PCPC field survey,2013-05-13 00:00:00,mw,0,0,0,N, , ,39.98226309478962,-75.19048565278423
A,3015,Cruz Recreation Center Building 1,1400-52 N 05th Street,Cruz Recreation Center, ,0, ,A11,A11.3,B1,C49, ,Recreation Building,Y,Owned,PPR,PPR,781479700,CITY OF PHILA,2667.0,0,1,1990,0.0,C,Lower North,7.0, , ,2012-08-28 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,23,7,N,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=729, ,39.97323963567727,-75.1457448937993
A,2260,Francisville Playground Athletic Field,1737-39 Francis Street,Francisville Playground, ,0, ,A11,A11.3,B3,C3, ,Athletic Field,Y,Owned,Public use,PPR,782184100,CITY OF PHILA,0.0,0,0,0,0.0,C,Central,5.0, , ,2013-11-12 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,5,N,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=746, ,39.96844746123932,-75.16777266671811
A,2293,Hancock Playground Baseball Field,147 Master Street,Hancock Playground, ,0, ,A11,A11.3,B3,C87, ,Baseball Field,Y,Owned,Public use,PPR,781264000,CITY OF PHILA,0.0,0,0,0,0.0,C,Lower North,5.0, , ,2012-08-28 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,5,N,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=756, ,39.97302139561229,-75.13724068513295
A,2205,"Gathers, Hank YAC Baseball Field",2501-19 W Diamond Street,Hank Gathers YAC, ,0, ,A11,A11.3,B3,C87, ,Baseball Field,Y,Owned,Public use,PPR,784108500,CITY OF PHILA,0.0,0,0,0,0.0,C,Lower North,5.0, , ,2012-08-28 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,5,N,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=750, ,39.987712678889324,-75.17457755084575
A,3047,"Gathers, Hank YAC Athletic Field",2501-19 W Diamond Street,Hank Gathers YAC, ,0, ,A11,A11.3,B3,C3, ,Athletic Field,Y,Owned,Public use,PPR,784108500,CITY OF PHILA,0.0,0,0,0,0.0,C,Lower North,5.0, , ,2013-11-12 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,5,N,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=750, ,39.9880819809993,-75.17460961938579
A,3049,Mander Playground Baseball Field,2102 N 33RD ST,Mander Playground, ,0, ,A11,A11.3,B3,C87, ,Baseball Field,Y,Owned,Public use,PPR, , ,0.0,0,0,0,0.0,C,Lower North,4.0, , ,2013-11-12 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,4,N, , ,39.98927922118223,-75.18861206046104
A,2466,"King, Martin Luther Recreation Center Athletic Field",2101-35 Cecil B Moore Ave,Martin Luther King Recreation Center, ,0, ,A11,A11.3,B3,C3, ,Athletic Field\Soccer Field,Y,Owned,Public use,PPR,782083500,CITY OF PHILA,0.0,0,0,0,0.0,C,Lower North,5.0, , ,2012-08-28 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,5,N,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=772, ,39.98148975086607,-75.16980938008446
A,3050,"King, Martin Luther Recreation Center Baseball Field",2101-35 Cecil B Moore Ave,Martin Luther King Recreation Center, ,0, ,A11,A11.3,B3,C3, ,Athletic Field\Soccer Field,Y,Owned,Public use,PPR,782083500,CITY OF PHILA,0.0,0,0,0,0.0,C,Lower North,5.0, , ,2013-11-12 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,5,N,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=772, ,39.981025490789825,-75.16946290682696
A,1844,Shissler Recreation Center,1800-56 Blair Street,Shissler Recreation Center, ,0, ,A11,A11.3,B3,C50,D18,Recreation Center,Y,Owned,Public use,PPR,781015450,CITY OF PHILA,0.0,0,0,0,3.74179911,C,Lower North,7.0, , ,2012-08-28 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,7,N,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=831, ,39.97773271506863,-75.13257823734607
A,2164,Shissler Recreation Center Athletic Field,1800-56 Blair Street,Shissler Recreation Center, ,0, ,A11,A11.3,B3,C3, ,Athletic Field\Soccer Field,Y,Owned,Public use,PPR,781015450,CITY OF PHILA,0.0,0,0,0,0.0,C,Lower North,7.0, , ,2012-08-28 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,7,N,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=831, ,39.97797472184668,-75.13223613136198
A,3051,Shissler Recreation Center Ball Field,1800-56 Blair Street,Shissler Recreation Center, ,0, ,A11,A11.3,B3,C87, ,Baseball Field,Y,Owned,Public use,PPR,781015450,CITY OF PHILA,0.0,0,0,0,0.0,C,Lower North,7.0, , ,2013-11-12 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,7,N,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=831, ,39.97841999052514,-75.13186885166859
A,3052,Smith Memorial Playground Spray Ground,3500 Reservoir Dr,Smith Memorial Playground, ,0, ,A11,A11.3,B2,C60, ,Spray Ground,Y,Lessor,Smith Memorial Playground,Smith Memorial Playground, , ,0.0,0,0,0,0.0,C,Lower North,4.0,Leased by Smith Memorial. Land is city-owned.,"Confirmed Capital investments 2004, 2006, 2009",2013-11-12 00:00:00,PPR Data,2013-05-29 00:00:00,mw,0,0,4,N, , ,39.9811359385714,-75.19614494632597
A,989,Library Branch - Charles L. Durham,3320 Haverford Avenue,Library Branch - Charles L. Durham,52024E,988,Mantua James L Wright Recreation Center Building,A8, ,B1,C25, ,Library Branch,Y,Owned,LIBRARY,LIBRARY,783197800,CITY OF PHILA,3998.0,100,1,1979,0.39644199,C,West,3.0, , ,2012-05-15 00:00:00,Dept per MDO request,2012-05-15 00:00:00,mw,0,34,3,N,http://libwww.freelibrary.org/branches/branch.cfm?loc=DUR, ,39.964005411207005,-75.19109881304756
A,629,Hetzell Playground Athletic Field,1301 E Columbia Avenue,Hetzell Playground Field,16332E,0, ,A11,A11.3,B3,C3, ,Athletic Field\Soccer Field,Y,Owned,Public use,PPR,781058600,CITY OF PHILA,1122.0,0,0,0,2.46356201,C,River Wards,5.0, , ,2012-08-28 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,5,N,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=741, ,39.97235060003459,-75.1310087948703
A,3048,Hetzell Playground Baseball Field,1301 E Columbia Avenue,Hetzell Playground Field,16332E,0, ,A11,A11.3,B3,C87, ,Baseball Field,Y,Owned,Public use,PPR,781058600,CITY OF PHILA,1122.0,0,0,0,2.46356201,C,River Wards,5.0, , ,2013-11-12 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,5,N,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=741, ,39.972561948060616,-75.1314051690046
A,2441,Mander Playground Athletic Field,2102 N 33RD ST,Mander Playground, ,0, ,A11,A11.3,B3,C3, ,Athletic Field\Soccer Field,Y,Owned,Public use,PPR, , ,0.0,0,0,0,0.0,C,Lower North,4.0, , ,2012-08-28 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,4,N, , ,39.990061132982504,-75.18871157914157
A,1237,Lemon Hill Athletic Fields,Sedgely And Lemon Hill Drives,Lemon Hill Playground (East Fairmount Park),17463E,0, ,A11,A11.3,B3,C3, ,Athletic Field,Y,Owned,Public use,PPR, , ,0.0,0,0,0,0.0,C,Central,5.0, , ,2012-08-28 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,5,N, , ,39.972809263396464,-75.18717804618004
A,1238,Graff Fountain,Kelly & Aquarium Drives,Water Works,17240E,0, ,A11, ,B4,C16, ,Fountain,Y,Owned,Public use,PPR, , ,0.0,0,0,0,0.0,C,Central,5.0, , ,2012-08-28 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,5,N, , ,39.965412433983545,-75.18322052761047
A,1239,Erickson Fountain,24th St. & B.f. Parkway,Eakins Oval,17224E,0, ,A11, ,B4,C16, ,Fountain,Y,Owned,Public use,PPR, , ,0.0,0,0,0,0.0,C,Central,5.0, , ,2012-08-28 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,5,N, , ,39.96389967304878,-75.17958692336865
A,1243,59th And Lancaster,59th & Lancaster,59th And Lancaster,16058E,0, ,A11,A11.2,B3,C31, ,Breezeway\Island\Managed Area,Y,Owned,Public use,PPR, , ,0.0,0,0,0,0.06641999,C,West,4.0, , ,2012-08-28 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,4,N, , ,39.981789144053685,-75.23894932080326
A,1244,61st And Lebanon,61st & Lebanon,61st And Lebanon,16063E,0, ,A11,A11.2,B3,C31, ,Breezeway\Island\Managed Area,Y,Owned,Public use,PPR, , ,0.0,0,0,0,0.07521499,C,West,4.0, , ,2012-08-28 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,4,N, , ,39.98315564247585,-75.24303399086459
A,1253,Pennypack Ampitheater 2,Verree Road,Pennypack Creek Park,17264E,0, ,A11, ,B4,C63, ,Stage\Stands,Y,Owned,Public use,PPR, , ,0.0,0,0,0,0.0,C,Central Northeast,10.0, , ,2012-08-28 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,10,N, , ,40.08862781867769,-75.06101321197495
A,988,Mantua James L Wright Recreation Center Building,3320-50 Haverford Ave,Mantua James L Wright Recreation Center,16407E,989,Charles Durham Branch Library,A11,A11.3,B1,C49, ,Recreation Building,Y,Owned,PPR,PPR,783197800,CITY OF PHILA,15880.0,0,2,0,0.0,C,West,3.0, , ,2012-08-28 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,3,N, , ,39.96385650654268,-75.1911028726746
A,3053,Fire Dept Warehouse,Front & Luzerne Sts,Fire Dept Warehouse,13160E,1114,Fire Engine 55 / Ladder 22,A13,A13.1,B1,C73, ,Warehouse,Y,Owned,FIRE,DPP,786309500,CITY OF PHILA,10144.0,0,1,1962,1.51104223,C,North,7.0, , ,2013-12-20 00:00:00,FAMIS,2013-07-16 00:00:00,mw,0,51,7,N, , ,40.01121681279639,-75.1274588346758
C,3054,Navy Yard Improvements, ,Navy Yard,42501E,0, , , ,B8,C81, ,Other,N,Other,PIDC,PIDC, , ,0.0,0,0,0,0.0, ,Lower South,2.0,Capital Investment, ,2013-12-31 00:00:00,FAMIS,2013-07-16 00:00:00,mw,0,0,0, , , ,39.89611381481756,-75.17294090851898
A,3055,Horticulture Center Reflection Pool,4180 HORTICULTURE DR,Horticulture Center,17242E,0, ,A11, ,B4,C16, ,Fountain,Y,Owned,Public use,PPR, , ,0.0,0,0,0,0.0,C,West Park,4.0, , ,2013-12-31 00:00:00,FAMIS,2013-07-16 00:00:00,mw,0,0,4,N, , ,39.98324848375213,-75.21181606855723
A,2980,1234 Market Street Building,1234 Market Street,1234 Market Street, ,0, ,A2, ,B1,C34, ,Multi-Use\Office Building,N,Lessee,"OIT, OHCD",SEPTA,882507800,SEPTA,52385.0,0,2,0,0.0, ,Central,1.0,"Occupies 15th Fl 33,503 sqft, partial 18th Fl 8,329 sqft, Rear Plaza 700 sqft.  Expires 6/30/2013.",Sqft from lease,2012-10-10 00:00:00,DPP Leases and lease abstract,2012-03-02 00:00:00,mw,0,0,1,N, , ,39.95132643169773,-75.15762178033995
A,2981,Aramark Building / PWD and Health Dept Offices,1101 Market Street,Aramark Building / PWD and Health Dept Offices, ,0, ,A15, ,B1,C34, ,Multi-Use\Office Building,N,Lessee,"PWD, HEALTH",Lessor,882508010,KEYSTONE PHILA PROPERTIES,333000.0,0,6,0,0.0,M,Central,1.0,"Occupies 2-5, 7th, portion of 11th FL 179,295 sqft. 1,150 sqft of storage space. Expires 8/16/13",Sqft from lease,2012-10-10 00:00:00,DPP Leases and lease abstract,2012-03-02 00:00:00,mw,0,0,1,N, , ,39.951948757741725,-75.15699401116989
A,2982,Elections Storage,4700 Wissahickon Avenue,Wissahickon Industrial Center, ,0, ,A2, ,B1,C34, ,Multi-Use\Office Building,N,Lessee,CITY COMMISSIONERS,Forty Seven Hundred LP,884132005,FORTY SEVEN HUNDRED LP,394617.0,0,0,0,0.0,N,North,4.0,Voting machine storage. Expires 6/30/2013. Confirmed J. Herzins 10/11/12,Sqft from lease,2012-10-10 00:00:00,DPP Leases and lease abstract,2012-03-02 00:00:00,mw,0,0,4,N, , ,40.01638357381192,-75.17160434332823
A,2983,Boxer's Trail,Reservoir Dr to Schuylkill River Trail,Boxer's Trail,17470E,0, ,A11,A11.3,B3,C91, ,Recreation Trail\Bike Path,Y,Owned,Public use,PPR, , ,0.0,0,0,0,0.0,C,Lower North,4.0, , ,2012-10-18 00:00:00,FAMIS,2013-07-16 00:00:00,mw,0,0,4,N, , ,39.98255680790963,-75.19624960407512
A,3058,Penrose Lab Animal Hospital,34TH & Girard Avenue,Philadelphia Zoo,17819E,0, ,A18, ,B1,C24, ,Laboratory,Y,Owned,ZOO,ZOO,783172300,CITY OF PHILA,19000.0,100,0,0,0.0,C,West Park,3.0, , ,2013-12-31 00:00:00,FAMIS,2013-07-16 00:00:00,mw,0,0,3,N, , ,39.97342940301846,-75.19711987716813
C,3060,Zoo Retail Buildings,34TH & Girard Avenue,Philadelphia Zoo,17822E,0, ,A18, ,B1,C10, ,Concessions\Retail\Cafe,Y,Owned,ZOO,ZOO,783172300,CITY OF PHILA,19000.0,100,0,0,0.0,C,West Park,3.0, , ,2014-01-06 00:00:00,FAMIS,2013-07-16 00:00:00,mw,0,0,3,N, , ,39.97257306410077,-75.19677985769411
A,3062,Highway 4th District Salt Dome,4501 Stenton Ave,Highway 4th District Salt Dome,12407E,0, ,A15, ,B4,C57, ,Salt Shed,Y,Owned,STREETS,STREETS,884463425,CITY OF PHILA,0.0,0,0,0,1.10812675,M,Upper North,8.0,<Null>, ,2014-01-14 00:00:00,DPP,,ch,0,0,8,N, , ,40.025276951969275,-75.15899485355058
A,2991,Passyunk Square Dog Park,1200 Wharton Street,Columbus/ Diprospero Playground and Passyunk Square, ,0, ,A11,A11.3,B3,C84, ,Dog Run,Y,Owned,Public use,PPR,781429150,CITY OF PHILA,0.0,0,0,0,0.0,C,South,1.0,1600 sqft, ,2013-01-31 00:00:00,PPR Data,2012-08-28 00:00:00,mw,0,0,1,N, , ,39.93256552187794,-75.16417949349155
A,2990,Lanza Park Dog Run,214 Catharine Street,Mario Lanza Park, ,0, ,A11,A11.3,B3,C84, ,Dog Run,Y,Owned,Public use,PPR,781043400,CITY OF PHILA,0.0,0,0,0,0.0,C,Central,1.0,1200 sqft dog run, ,2013-01-31 00:00:00,PPR Data,2012-08-28 00:00:00,mw,0,0,1,N, , ,39.937144216182176,-75.14734794373878
A,2993,Seger Park Dog Run,1000-42 Lombard Street,Seger Park Playground, ,0, ,A11,A11.3,B3,C84, ,Dog Run,Y,Owned,PPR,PPR,781206100,CITY OF PHILA,0.0,0,0,0,0.0,C,Central,1.0, , ,2013-01-31 00:00:00,PPR Data,2012-08-28 00:00:00,mw,0,112,1,N, , ,39.94384815104217,-75.15975048967486
A,3,Parking Lot - 2799 W Reed St,2799 W. Reed Street,Parking Lot - 2799 W Reed St,20418E,0, ,A17, ,B3,C39, ,Parking Lot,Y,Owned,PPA,PPA,362137505,CITY OF PHILA,0.0,0,0,0,0.22644628,C,South,2.0,Same as PPA facility at 1345 S 28TH St, ,2011-06-21 00:00:00,PPA doc to PCPC,2011-06-03 00:00:00, ,0,0,2,N, , ,39.935996648334616,-75.19036513961763
A,7,Library Branch - Frankford,4634 Frankford Avenue,Library Branch - Frankford,52011E,0, ,A8, ,B1,C25, ,Library Branch,Y,Owned,LIBRARY,LIBRARY,786150700,CITY OF PHILA,11852.0,100,2,1906,0.21648299,C,Lower Northeast,7.0, , ,2012-05-15 00:00:00,Dept per MDO request,2012-05-15 00:00:00,mw,0,107,7,N,http://libwww.freelibrary.org/branches/branch.cfm?loc=FRK, ,40.01575118906871,-75.08508617542778
A,11,Fire Engine 71/Ladder 28,Lorretto & Cottman Avenues,Fire Engine 71 / Ladder 28 & Fuel Site 274,13071E,0, ,A13,A13.1,B1,C14, ,Fire Station,Y,Owned,FIRE,DPP,786082600,CITY OF PHILA,16550.0,100,2,1930,0.26542699,C,Central Northeast,9.0, , ,2012-06-06 00:00:00,Dept per MDO request. PICA 2007 sqft,2012-05-15 00:00:00,mw,0,83,7,N, , ,40.051782585834076,-75.06766786848382
A,13,Parking Lot - 5312-50 Eadom St,5312 Eadom St,Parking Lot - 5312-50 Eadom St,20434E,0, ,A17, ,B3,C39, ,Parking Lot,Y,Owned,Public use,SEPTA,453399315,CITY OF PHILA,0.0,0,0,0,1.09166669,C,North Delaware,6.0, , ,2011-06-21 00:00:00,"DPP Fixed Asset List, PCPC",2011-07-01 00:00:00, ,0,0,6,N, , ,40.01047955488797,-75.06817662585225
A,31,Fire Engine 49,13th & Shunk Streets,Fire Engine 49 & Fuel Site 112,13049E,0, ,A13,A13.1,B1,C14, ,Fire Station,Y,Owned,FIRE,DPP,781656000,CITY OF PHILA,8000.0,100,1,1956,0.24504132,C,South,1.0, , ,2012-06-06 00:00:00,Dept per MDO request. PICA 2007 sqft,2012-05-15 00:00:00,mw,0,57,1,N, , ,39.9177573371948,-75.16932209782523
A,38,Parking Lot - 4716-23 Baltimore Ave,4716-23 Baltimore,Parking Lot - 4716-23 Baltimore Ave,20435E,0, ,A17, ,B3,C39, ,Parking Lot,Y,Owned,Public use,PPA,461092250,CITY OF PHILA,0.0,0,0,0,0.46586316,C,University Southwest,3.0, , ,2011-06-21 00:00:00,PPA doc to PCPC,2011-06-03 00:00:00, ,0,0,3,N, , ,39.948133633329206,-75.21748572317513
A,39,Library Branch - Holmesburg,7810 Frankford Avenue,Library Branch - Holmesburg,52016E,0, ,A8, ,B1,C25, ,Library Branch,Y,Owned,LIBRARY,LIBRARY,786152000,CITY OF PHILA,8087.0,100,2,1907,0.57151097,C,North Delaware,6.0, , ,2012-05-15 00:00:00,Dept per MDO request,2012-05-15 00:00:00,mw,0,106,6,N,http://libwww.freelibrary.org/branches/branch.cfm?loc=HOL, ,40.04042236220836,-75.03176727798434
A,40,One Parkway Building (OPB),16th Street & Benjamin Franklin Parkway,One Parkway Building,20004E,0, ,A2,A2.1,B1,C34,D12,Multi-Use\Office Building,Y,Owned,Multiple Depts,US Facilities,772059100,PHILA AUTH FOR IND DEV,379846.0,0,18,1965,0.821006,M,Central,5.0,"Gross sqft 502,000", ,2012-05-18 00:00:00,Dept per MDO request,2102-05-18 00:00:00,mw,0,48,5,N, , ,39.95510354955998,-75.16583390953998
A,60,Parking Lot - 2126 S 63rd Street,2126 S 63rd Street,Parking Lot - 2126 S 63rd Street,20460E,0, ,A17, ,B3,C39, ,Parking Lot,Y,Owned,Public use,PPA,401168505,CITY OF PHILA,0.0,0,0,0,0.58595043,C,Lower Southwest,2.0, , ,2011-06-21 00:00:00,DPP Fixed Asset List,2011-07-01 00:00:00, ,0,0,2,N, , ,39.92757420988499,-75.23265938685937
A,64,Holmesburg Prison,8215 Torresdale Avenue,Holmesburg Prison,23002E,0, ,A13,A13.3,B1,C11, ,Detention Center Adult,Y,Owned,PRISONS,PRISONS,786537201,CITY OF PHILA,688128.0,40,1,1915,26.13627243,M,North Delaware,6.0, , ,2012-05-29 00:00:00,Prisons per MDO request,2012-05-18 00:00:00,mw,0,98,6,N, , ,40.03711719288105,-75.01871988732476
A,65,Cannery Building,8201 Torresdale Avenue,Holmesburg Prison,23005E,0, ,A13,A13.3,B1,C11, ,Detention Center Adult,Y,Owned,PRISONS,PRISONS,786537201,CITY OF PHILA,9843.0,100,1,1954,26.13627243,M,North Delaware,6.0,Numbers served included w/ Alternative & Special Detention, ,2012-06-06 00:00:00,Prisons per MDO request,2012-05-18 00:00:00,mw,0,59,6,N, , ,40.03668769317292,-75.02064949251692
A,66,Prisons Training Academy,8215 Torresdale Avenue,Prisons Training Academy,23010E,0, ,A13,A13.3,B1,C34, ,Multi-Use\Office Building,Y,Owned,PRISONS,PRISONS,786537201,CITY OF PHILA,18348.0,100,3,0,0.0,M,North Delaware,6.0,Acres incl w/ Holmesburg Prision, ,2012-05-29 00:00:00,Prisons per MDO request,2012-05-18 00:00:00,mw,0,0,6,N, , ,40.035692377288875,-75.01995265920152
A,69,Police Academy Main Building,8501 State Road,Police Academy, ,0, ,A13,A13.2,B1,C34,D4,Multi-Use\Office Building,Y,Owned,POLICE,DPP,884463000,PHILA MUNICIPAL AUTH,17800.0,50,1,1953,0.0,M,North Delaware,6.0,Training & Education Services/Police Academy, ,2012-06-06 00:00:00,Dept per MDO request. PICA 2007 sqft,2012-05-21 00:00:00,mw,0,60,6,N, , ,40.037673399916315,-75.00891101472484
A,70,Police Academy Firing Range,8501 State Road,Police Academy,11113E,0, ,A13,A13.2,B1,C34,D4,Multi-Use\Office Building,Y,Owned,POLICE,DPP,884463000,PHILA MUNICIPAL AUTH,4848.65576171,25,1,0,0.0,M,North Delaware,6.0,Acres in AssetID 69 Police Academy. Canine/Mounted Police Unit, ,2012-06-01 00:00:00,Dept per MDO request. PICA 2007 sqft,2012-05-21 00:00:00,mw,0,0,6,N, , ,40.036150199155976,-75.00623487997221
